date,tmax
2011-01-01,-4.139333333333334
2011-01-16,-7.965333333333334
2011-01-31,-3.012
2011-02-15,-13.722666666666667
2011-03-02,-1.0933333333333333
2011-03-17,2.004
2011-04-01,7.29
2011-04-16,16.318666666666665
2011-05-01,21.185333333333332
2011-05-16,23.69333333333333
2011-05-31,25.35666666666667
2011-06-15,25.838
2011-06-30,26.412
2011-07-15,31.34466666666667
2011-07-30,26.34733333333333
2011-08-14,23.934666666666665
2011-08-29,20.772
2011-09-13,19.076666666666664
2011-09-28,14.965333333333332
2011-10-13,7.295333333333333
2011-10-28,4.021333333333334
2011-11-12,-0.6166666666666667
2011-11-27,2.298666666666667
2011-12-12,0.752
2011-12-27,1.7506666666666668
2012-01-11,-5.373333333333334
2012-01-26,-14.117333333333333
2012-02-10,-8.576
2012-02-25,-3.0746666666666664
2012-03-11,2.1540000000000004
2012-03-26,6.842
2012-04-10,18.756666666666668
2012-04-25,24.19333333333333
2012-05-10,26.592666666666666
2012-05-25,21.207333333333334
2012-06-09,27.228
2012-06-24,26.241333333333333
2012-07-09,27.16866666666667
2012-07-24,30.736666666666668
2012-08-08,24.883333333333333
2012-08-23,20.85
2012-09-07,19.955333333333332
2012-09-22,18.866
2012-10-07,14.902
2012-10-22,9.271999999999998
2012-11-06,5.1419999999999995
2012-11-21,4.333333333333333
2012-12-06,-5.903333333333333
2012-12-21,-2.9033333333333333
2013-01-05,-3.0566666666666666
2013-01-20,-3.8253333333333335
2013-02-04,-0.9760000000000001
2013-02-19,-1.178
2013-03-06,0.11066666666666664
2013-03-21,2.0653333333333332
2013-04-05,13.712
2013-04-20,19.207333333333334
2013-05-05,27.038666666666664
2013-05-20,23.956666666666667
2013-06-04,26.674
2013-06-19,26.529999999999998
2013-07-04,27.543333333333333
2013-07-19,22.752666666666666
2013-08-03,26.208000000000002
2013-08-18,23.55
2013-09-02,17.161333333333335
2013-09-17,11.406666666666666
2013-10-02,10.629333333333333
2013-10-17,10.648666666666665
2013-11-01,10.046
2013-11-16,3.5319999999999996
2013-12-01,-1.7586666666666666
2013-12-16,0.5593333333333333
2013-12-31,0.4706666666666666
2014-01-15,-10.927333333333333
2014-01-30,-5.996666666666667
2014-02-14,1.8886666666666667
2014-03-01,5.172
2014-03-16,9.542
2014-03-31,7.989333333333334
2014-04-15,18.719333333333335
2014-04-30,18.858
2014-05-15,29.21933333333333
2014-05-30,26.376666666666665
2014-06-14,19.904
2014-06-29,25.838
2014-07-14,29.03666666666667
2014-07-29,31.542666666666666
2014-08-13,27.002
2014-08-28,21.890666666666668
2014-09-12,18.897333333333332
2014-09-27,13.322666666666667
2014-10-12,10.150666666666666
2014-10-27,7.228
2014-11-11,0.9833333333333333
2014-11-26,-3.9853333333333336
2014-12-11,2.1053333333333333
2014-12-26,-6.492
