date,wind
2011-01-31,3.184351098551613
2011-02-28,4.4246237139157145
2011-03-31,3.7316929803780647
2011-04-30,3.2022524560696337
2011-05-31,2.6114011894445164
2011-06-30,2.94199639472
2011-07-31,2.6432022085625806
2011-08-31,2.5793688539070967
2011-09-30,3.105402223159333
2011-10-31,3.0390310998397743
2011-11-30,3.7432866883119997
2011-12-31,4.106791284442903
2012-01-31,2.957240532959355
2012-02-29,2.5421695402306894
2012-03-31,4.083460084212258
2012-04-30,3.2057901356836664
2012-05-31,3.3907647771980645
2012-06-30,3.112337998433
2012-07-31,2.7021179409109677
2012-08-31,2.9899543458509674
2012-09-30,3.0145648452189997
2012-10-31,3.517749224243871
2012-11-30,3.2219624575753003
2012-12-31,4.411378399939999
2013-01-31,2.913192881706129
2013-02-28,3.4957648940089285
2013-03-31,4.251949148157742
2013-04-30,3.534905183887333
2013-05-31,2.8081490957238713
2013-06-30,2.7335384141150003
2013-07-31,2.901862944246451
2013-08-31,1.9841617790808386
2013-09-30,2.8752731222576
2013-10-31,3.1050839010225806
2013-11-30,3.825492981053334
2013-12-31,4.164754927556774
2014-01-31,3.3235058826019355
2014-02-28,3.1310765952092856
2014-03-31,3.7461226009848385
2014-04-30,3.8081509130616666
2014-05-31,3.1448072154225803
2014-06-30,3.495899888836
2014-07-31,2.5542241995151613
2014-08-31,2.5037555076153546
2014-09-30,2.7417029903879664
2014-10-31,3.028676363371677
2014-11-30,2.973518021904667
2014-12-31,3.302778919703226
