date,wind
2011-01-01,3.5630024920270005
2011-01-11,2.77043818621
2011-01-21,3.145256060606
2011-01-31,4.414147760211
2011-02-10,4.3946401420229995
2011-02-20,4.228426353873
2011-03-02,3.416122930968
2011-03-12,3.387986709485
2011-03-22,4.508662408243
2011-04-01,3.863547172032
2011-04-11,3.345693894829
2011-04-21,2.3975163013479
2011-05-01,2.7357493415649996
2011-05-11,2.381586743373
2011-05-21,2.697744444445
2011-05-31,3.2814011337639997
2011-06-10,2.569405826062
2011-06-20,2.9853203822289998
2011-06-30,2.7264492308659998
2011-07-10,2.2021862242730004
2011-07-20,3.084490554085
2011-07-30,2.606567882775
2011-08-09,2.699335659638
2011-08-19,2.511172359666
2011-08-29,2.4916846521940004
2011-09-08,3.8186937770569997
2011-09-18,2.71259988345
2011-09-28,3.574560099257
2011-10-08,2.9926142439423
2011-10-18,2.562994941797
2011-10-28,3.111602146466
2011-11-07,3.8666277777780005
2011-11-17,3.624311147187
2011-11-27,4.212284523808
2011-12-07,3.5028966325660003
2011-12-17,4.48138968254
2011-12-27,3.811125000002
2012-01-06,2.682248188406
2012-01-16,2.825822463768
2012-01-26,3.1659166666650003
2012-02-05,2.779291666668
2012-02-15,2.589416666668
2012-02-25,2.561583333333
2012-03-06,3.836500000001
2012-03-16,4.6217975955199995
2012-03-26,4.417761998871
2012-04-05,3.143276894262
2012-04-15,3.037505602796
2012-04-25,3.039837909993
2012-05-05,2.831553785402
2012-05-15,4.034168461009
2012-05-25,3.2842691769379995
2012-06-04,3.003296115289
2012-06-14,3.1878010139810002
2012-06-24,3.050327696094
2012-07-04,2.75505802199
2012-07-14,2.889215959816
2012-07-24,2.136436661506
2012-08-03,2.4028811514090003
2012-08-13,3.369153056992
2012-08-23,3.580897793149
2012-09-02,3.3960145876459995
2012-09-12,2.507177603595
2012-09-22,3.278665387894
2012-10-02,2.9650936853000003
2012-10-12,3.098964054785
2012-10-22,4.351051811593
2012-11-01,3.932263853369
2012-11-11,3.294676359457
2012-11-21,2.4389471598998997
2012-12-01,3.899120093794
2012-12-11,5.366762121212
2012-12-21,4.204078324808
2012-12-31,2.7536487155389997
2013-01-10,2.812785257496
2013-01-20,2.9380681269210003
2013-01-30,4.608213768116
2013-02-09,3.594261801242
2013-02-19,2.3173744671999996
2013-03-01,4.160649242424
2013-03-11,4.056486308094
2013-03-21,4.574906808771
2013-03-31,3.4630767221920005
2013-04-10,2.618559020512
2013-04-20,4.565079808958
2013-04-30,3.100518517998
2013-05-10,2.739150882098
2013-05-20,2.841758788551
2013-05-30,2.487389960477
2013-06-09,2.7305725310730002
2013-06-19,2.958066304347
2013-06-29,2.435991310159
2013-07-09,2.743676493771
2013-07-19,3.1301944444450003
2013-07-29,2.9558333333339997
2013-08-08,1.6702083333326
2013-08-18,1.7114999999999998
2013-08-28,2.5000082085149997
2013-09-07,2.5466495969928
2013-09-17,3.3541539855069997
2013-09-27,2.949698945982
2013-10-07,2.659110389612
2013-10-17,3.485291666667
2013-10-27,3.263026515152
2013-11-06,3.50004441935
2013-11-16,4.095142857143
2013-11-26,4.761
2013-12-06,4.697805555556
2013-12-16,3.984529934437
2013-12-26,2.529485340989
2014-01-05,3.941592391304
2014-01-15,3.6687658517960005
2014-01-25,2.614749760203
2014-02-04,3.000647175459
2014-02-14,3.2469219683349997
2014-02-24,3.336833333332
2014-03-06,3.012731884058
2014-03-16,4.344568675890001
2014-03-26,4.520096169772
2014-04-05,4.29299522398
2014-04-15,3.6023286155099994
2014-04-25,2.874731929997
2014-05-05,3.3202224535269997
2014-05-15,3.050042887224
2014-05-25,3.7741275957909997
2014-06-04,3.2777571810540005
2014-06-14,3.1401675267709996
2014-06-24,3.5781553571430003
2014-07-04,2.853170647654
2014-07-14,2.4217871483380002
2014-07-24,1.8475759234240001
2014-08-03,2.343533715794
2014-08-13,2.4673299035246
2014-08-23,2.934270517781
2014-09-02,2.5696863450589
2014-09-12,2.0953988636360004
2014-09-22,3.822619000564
2014-10-02,2.6497192283242
2014-10-12,3.6775435660969995
2014-10-22,2.5651339320310003
2014-11-01,3.061359304191
2014-11-11,3.305197619047
2014-11-21,2.553997142476
2014-12-01,3.358561079649
2014-12-11,2.979220238097
2014-12-21,3.612250000001
2014-12-31,3.9364583333330003
