tavg,tmin,tmax,wind,globrad,precip,relhumid,de-date
-7.260000000000001,-9.793333333333333,-4.828333333333333,2.795,2.5033333333333334,1.1366666666666667,97.36666666666667,01.01.2016
-5.855,-8.438333333333334,-3.6783333333333332,4.471666666666667,2.4533333333333336,2.8316666666666666,97.25,02.01.2016
-6.9383333333333335,-10.373333333333333,-3.9949999999999997,3.7449999999999997,2.8083333333333336,2.341666666666667,96.18833333333333,03.01.2016
-8.020000000000001,-10.708333333333334,-5.373333333333334,3.5749999999999997,2.3666666666666667,0.9750000000000001,97.42666666666666,04.01.2016
-8.545,-11.668333333333335,-5.985,2.9899999999999998,2.7083333333333335,1.92,97.57166666666667,05.01.2016
-9.424999999999999,-13.153333333333334,-6.5616666666666665,3.5966666666666662,2.9783333333333335,2.6066666666666665,97.11500000000001,06.01.2016
-11.280000000000001,-14.173333333333332,-8.266666666666667,3.6283333333333334,3.2816666666666667,2.99,97.16833333333334,07.01.2016
-8.475,-12.42,-5.331666666666667,3.5399999999999996,2.8066666666666666,2.1716666666666664,97.08333333333333,08.01.2016
-6.898333333333333,-9.354999999999999,-4.446666666666666,4.3500000000000005,2.145,3.6199999999999997,96.38333333333333,09.01.2016
-7.388333333333333,-9.475,-5.773333333333333,3.9183333333333334,2.645,2.5783333333333336,96.90833333333335,10.01.2016
-7.001666666666666,-9.821666666666667,-4.881666666666667,4.576666666666667,2.3333333333333335,1.83,96.56333333333333,11.01.2016
-7.238333333333333,-10.151666666666666,-4.468333333333334,3.9716666666666662,2.685,0.9366666666666666,97.09499999999998,12.01.2016
-7.026666666666666,-11.336666666666666,-4.091666666666667,4.501666666666667,2.9166666666666665,2.2616666666666667,96.835,13.01.2016
-8.868333333333334,-11.895000000000001,-5.72,3.0583333333333336,3.158333333333333,0.3983333333333334,96.84499999999998,14.01.2016
-10.975,-14.729999999999999,-6.795000000000001,2.7616666666666667,3.2383333333333333,0.7483333333333334,97.26166666666666,15.01.2016
-8.51,-12.843333333333334,-5.1000000000000005,3.111666666666667,3.7449999999999997,2.078333333333333,97.71666666666665,16.01.2016
-12.924999999999999,-16.175,-9.315,3.1483333333333334,3.8383333333333334,1.3966666666666665,97.66666666666667,17.01.2016
-12.363333333333335,-15.945,-8.561666666666666,2.9166666666666665,3.6,1.0166666666666666,96.94833333333334,18.01.2016
-13.526666666666666,-18.044999999999998,-9.595,2.685,4.39,1.14,98.10333333333334,19.01.2016
-13.138333333333334,-16.651666666666667,-9.77,3.8683333333333336,4.346666666666667,0.9733333333333333,97.55333333333333,20.01.2016
-13.459999999999999,-17.099999999999998,-9.733333333333334,4.503333333333333,4.248333333333333,0.9099999999999998,96.71666666666665,21.01.2016
-15.013333333333334,-17.94333333333333,-12.145000000000001,4.625,3.793333333333333,1.4133333333333333,97.11333333333334,22.01.2016
-15.808333333333332,-18.831666666666667,-12.643333333333333,4.341666666666667,4.05,1.4483333333333333,96.895,23.01.2016
-18.036666666666665,-21.123333333333335,-14.336666666666666,3.8833333333333333,5.251666666666666,0.51,96.25999999999999,24.01.2016
-18.926666666666666,-24.013333333333335,-13.278333333333334,2.9783333333333335,5.378333333333334,0.15,97.73166666666667,25.01.2016
-19.03833333333333,-22.923333333333332,-13.975,2.3216666666666668,6.035,0.5533333333333333,97.355,26.01.2016
-17.12,-21.066666666666666,-12.658333333333333,3.3316666666666666,6.038333333333334,1.32,97.13666666666666,27.01.2016
-14.961666666666668,-19.396666666666665,-10.688333333333333,3.731666666666667,5.698333333333333,0.505,96.46,28.01.2016
-14.733333333333334,-19.008333333333333,-11.185,4.3933333333333335,5.8116666666666665,1.01,96.17666666666666,29.01.2016
-14.891666666666666,-18.285,-10.751666666666667,4.036666666666666,5.928333333333334,0.7800000000000001,96.43666666666667,30.01.2016
-12.336666666666666,-16.720000000000002,-8.411666666666667,4.573333333333333,5.84,1.7916666666666667,96.02,31.01.2016
-11.591666666666667,-15.138333333333334,-8.159999999999998,3.975,5.176666666666667,4.816666666666666,96.43666666666667,01.02.2016
-10.315,-14.001666666666667,-6.203333333333333,3.285,5.175,2.393333333333333,96.32333333333334,02.02.2016
-9.875,-13.696666666666667,-5.9366666666666665,4.32,4.706666666666667,3.345,96.36333333333334,03.02.2016
-9.765,-13.511666666666668,-7.091666666666666,5.086666666666667,4.7,1.805,95.41833333333334,04.02.2016
-10.505,-13.471666666666666,-7.165,3.9033333333333338,5.905,0.855,96.31333333333333,05.02.2016
-10.99,-14.665,-7.133333333333333,4.391666666666667,7.236666666666667,0.8583333333333334,96.48666666666668,06.02.2016
-11.725,-15.051666666666668,-8.236666666666666,4.273333333333333,6.653333333333333,0.38000000000000006,97.27,07.02.2016
-9.258333333333333,-12.853333333333333,-5.921666666666667,5.005,6.5249999999999995,1.5883333333333332,96.59333333333332,08.02.2016
-8.423333333333334,-11.79,-5.555,5.638333333333333,6.510000000000001,1.6766666666666667,95.70666666666666,09.02.2016
-9.491666666666667,-13.753333333333332,-5.826666666666667,4.401666666666666,6.586666666666666,1.0266666666666666,95.86500000000001,10.02.2016
-12.195,-15.885,-8.756666666666666,3.603333333333333,6.861666666666667,0.6,95.77,11.02.2016
-10.285,-13.49,-7.278333333333332,4.493333333333333,5.701666666666667,1.0633333333333335,95.83333333333333,12.02.2016
-9.586666666666666,-12.305,-6.773333333333333,4.7749999999999995,7.003333333333334,0.8916666666666667,95.54,13.02.2016
-8.136666666666667,-10.751666666666667,-3.893333333333333,4.283333333333333,6.266666666666667,2.5733333333333333,96.71999999999998,14.02.2016
