Latitude,Longitude,Layer_top_cm,Layer_bottom_cm,Organic Carbon (%),pH,Bulk Density (g/cm3),"Clay, (%)","Silt, (%)","Coarse, (%)","Sand, (%)",Ks (cm/h),Field Capacity,Wilting point,Wmax,Wmin
51.744849694005396,37.7306937281943,35.0,68.33333333333333,3.973333333333333,6.8500000000000005,1.2750000000000001,28.566666666666666,45.666666666666664,10.416666666666666,25.76666666666667,1.1626138939939576,0.35233271179798925,0.16099868617959592,0.4530555209945706,0.00544925867389804
51.75194382037659,37.74731621083428,35.0,68.33333333333333,4.966666666666667,6.883333333333333,1.2716666666666667,31.683333333333334,45.4,10.716666666666667,22.916666666666668,1.2932788492717744,0.36223814545220373,0.16996924216890305,0.460982953500328,0.0055140888509029725
51.754149550420465,37.83418424600476,35.0,68.33333333333333,3.61,6.883333333333333,1.2716666666666667,39.916666666666664,36.31666666666667,11.216666666666667,23.76666666666667,1.1533263795937017,0.3713625503713776,0.19168607620704378,0.47912364677339486,0.00704600823447658
51.759473520610534,37.852089845859396,35.0,68.33333333333333,4.4783333333333335,6.866666666666667,1.27,31.516666666666666,41.416666666666664,9.25,27.066666666666666,1.2160623207365824,0.3559550550849695,0.16964866516433996,0.46055685077959496,0.006064189515121893
51.85273348075712,37.80332409453025,35.0,68.33333333333333,3.6616666666666666,6.733333333333333,1.265,33.733333333333334,35.86666666666667,8.6,30.399999999999995,1.2065544782146809,0.3556656457266547,0.17607792924892926,0.4668445053552845,0.006985218878286982
51.853648515500495,37.766016346800605,35.0,68.33333333333333,3.2283333333333335,6.7,1.265,30.03333333333333,43.68333333333334,8.766666666666667,26.28333333333333,1.2212981401556948,0.35559231873580605,0.16549324013655944,0.4586647454558392,0.005700797417407858
51.853834963208584,37.75379338899883,35.0,68.33333333333333,3.4183333333333334,6.7,1.2583333333333333,24.483333333333334,49.65,9.016666666666667,25.866666666666664,1.3888006951206915,0.34944012270545,0.1496796710241272,0.44919013223147064,0.004915805279325191
51.85420400792468,37.787104276170744,35.0,68.33333333333333,3.348333333333333,6.75,1.2750000000000001,33.78333333333333,42.78333333333333,9.316666666666666,23.433333333333334,1.0861776030642354,0.3626655086077472,0.17524085265474929,0.4646790638115939,0.005906673059574257
51.86047720132926,37.81530504749863,35.0,68.33333333333333,3.796666666666667,6.816666666666666,1.2633333333333334,33.13333333333333,39.233333333333334,8.9,27.63333333333333,1.2702796332785498,0.35892802354239745,0.1744923204316229,0.4659384982175962,0.006403436382255031
51.86942536714901,37.754041994368336,35.0,68.33333333333333,3.1533333333333338,6.583333333333333,1.3016666666666667,26.633333333333336,37.699999999999996,7.533333333333334,35.66666666666667,1.1122525509613552,0.33081983576443613,0.15517090382523765,0.4414254283990593,0.00684806396054485
51.87079577368945,37.797583474747746,35.0,68.33333333333333,3.158333333333333,6.683333333333334,1.28,29.083333333333332,39.5,8.633333333333333,31.416666666666668,1.1357540361830318,0.3442779129109265,0.16259089664492188,0.45220716709709413,0.00640277477096984
51.87088450735089,37.84837156158006,35.0,68.33333333333333,3.9066666666666667,6.833333333333333,1.27,26.883333333333336,45.949999999999996,9.633333333333333,27.166666666666668,1.227923556064538,0.34851664684676725,0.15633283699080167,0.45046780856853513,0.005399437549145122
51.875195552739484,37.82749770626738,35.0,68.33333333333333,4.041666666666667,6.716666666666666,1.2883333333333333,26.166666666666668,45.03333333333333,9.4,28.799999999999997,1.1661867275664914,0.34166534485280686,0.15383315793206223,0.4438096790970209,0.005595134597625047
51.87524863602787,37.81088300951149,35.0,68.33333333333333,3.77,6.716666666666666,1.2866666666666666,28.96666666666667,43.65,8.633333333333333,27.383333333333336,1.0894711680275053,0.34833331995569194,0.16177818035350747,0.4503752239047402,0.005767106858243918
51.87691762606308,37.508042194429926,35.0,68.33333333333333,4.3549999999999995,6.7,1.28,30.266666666666666,43.949999999999996,8.516666666666667,25.78333333333333,1.1253684916876239,0.3535474251320956,0.16581112013749874,0.45555261744052666,0.00570167053984516
51.87868403756546,37.411785342070104,35.0,68.33333333333333,3.9483333333333337,6.783333333333334,1.2683333333333333,29.2,41.61666666666667,10.366666666666667,29.183333333333334,1.1750836580101531,0.349545818154229,0.16306407834087863,0.4554977724714449,0.006020609078662681
51.87942642325839,37.74122397625982,35.0,68.33333333333333,4.386666666666667,6.616666666666667,1.2983333333333333,28.96666666666667,37.93333333333333,9.083333333333334,33.1,1.1183431139239206,0.3390732386392013,0.1621000337756549,0.4472553194636532,0.0067235442095194865
51.87984036099201,37.44407307226072,35.0,68.33333333333333,5.1883333333333335,6.366666666666667,1.2666666666666666,28.650000000000002,42.0,9.2,29.349999999999998,1.2317257097401544,0.3486647285135643,0.16173755005506038,0.4547730388278221,0.005953126979100751
51.88140920505811,37.819243855092935,35.0,68.33333333333333,3.6216666666666666,6.75,1.28,29.833333333333332,42.51666666666667,9.533333333333333,27.649999999999995,1.1300982545941485,0.350528313267926,0.16441844459871444,0.45384920074904905,0.005913572989653772
51.884744567154556,37.41796164108272,35.0,68.33333333333333,3.1750000000000003,6.766666666666667,1.2633333333333334,28.733333333333334,41.36666666666667,9.4,29.900000000000002,1.2225690965675973,0.348621407774022,0.16179469996139215,0.45542102421427844,0.006041143010146859
51.88650758940939,37.4752623668188,35.0,68.33333333333333,4.258333333333334,6.783333333333334,1.2916666666666667,31.78333333333333,42.0,8.266666666666667,26.21666666666667,1.054770696957639,0.35296210136439016,0.16971366912651578,0.45560241392382955,0.006027169573882211
