date,tavg
2011-01-01,-7.144250000004
2011-01-11,-9.782833333324001
2011-01-21,-9.235083333333
2011-01-31,-2.9255000000009996
2011-02-10,-15.531041666657
2011-02-20,-17.56674999998
2011-03-02,-8.387416666671
2011-03-12,-1.188916666665
2011-03-22,-0.6815887681153
2011-04-01,3.213458333335
2011-04-11,5.146083333333
2011-04-21,12.161250000007
2011-05-01,15.458583333330001
2011-05-11,15.333625000000001
2011-05-21,18.34087499999
2011-05-31,19.663208333329997
2011-06-10,19.64787500001
2011-06-20,20.11729166668
2011-06-30,20.89599999999
2011-07-10,23.34354166667
2011-07-20,24.91166666667
2011-07-30,18.98875
2011-08-09,23.261541666670002
2011-08-19,16.64154166668
2011-08-29,16.41299999999
2011-09-08,14.27270833334
2011-09-18,12.644375000013
2011-09-28,9.379916666670999
2011-10-08,8.60020833332667
2011-10-18,4.152333333334
2011-10-28,3.1488749999993
2011-11-07,-2.324041666667
2011-11-17,-3.614625
2011-11-27,1.1293333333333
2011-12-07,-0.014000000000029988
2011-12-17,-1.7848333333336701
2011-12-27,0.138875000000333
2012-01-06,-0.5328750000003
2012-01-16,-10.395708333337002
2012-01-26,-17.24658333334
2012-02-05,-17.928166666659997
2012-02-15,-8.5021250000003
2012-02-25,-3.1994583333332995
2012-03-06,-5.94104166666433
2012-03-16,-0.10095833333329998
2012-03-26,0.6177500000003
2012-04-05,8.185791666667
2012-04-15,14.85033333333
2012-04-25,15.84104166665
2012-05-05,19.91229166665
2012-05-15,19.95483333333
2012-05-25,14.33966666665
2012-06-04,20.283375
2012-06-14,21.323125000010002
2012-06-24,19.194250000009998
2012-07-04,23.67533333334
2012-07-14,19.98208333333
2012-07-24,22.75258333333
2012-08-03,24.076166666669998
2012-08-13,17.68158333334
2012-08-23,16.08670833335
2012-09-02,13.31558333335
2012-09-12,14.76137500001
2012-09-22,13.22795833333
2012-10-02,11.651416666667
2012-10-12,10.330874999993
2012-10-22,5.437
2012-11-01,5.161041666666
2012-11-11,1.263333333334
2012-11-21,0.9130833333333002
2012-12-01,0.7814166666656701
2012-12-11,-11.448250000007
2012-12-21,-8.165666666669999
2012-12-31,-1.7870416666657
2013-01-10,-6.363333333336
2013-01-20,-9.53249999999
2013-01-30,-1.3226666666674
2013-02-09,-3.4627499999999998
2013-02-19,-6.908250000000299
2013-03-01,-3.9331666666677
2013-03-11,-2.8607499999983
2013-03-21,-5.610416666668
2013-03-31,5.0707499999992995
2013-04-10,8.957208333331
2013-04-20,11.67441666665
2013-04-30,14.872708333330001
2013-05-10,21.95370833332
2013-05-20,18.86954166666
2013-05-30,18.837416666659998
2013-06-09,21.68970833333
2013-06-19,20.40141666667
2013-06-29,22.85483333335
2013-07-09,20.15183333333
2013-07-19,17.00395833332
2013-07-29,18.99591666668
2013-08-08,21.76675
2013-08-18,18.90750000001
2013-08-28,15.05712500001
2013-09-07,12.977874999990002
2013-09-17,11.135833333343
2013-09-27,3.0518333333333
2013-10-07,9.21820833335
2013-10-17,5.8058749999993
2013-10-27,9.192125
2013-11-06,7.303
2013-11-16,1.8145000000006999
2013-11-26,-0.2523333333333
2013-12-06,-5.75
2013-12-16,-1.1568333333326
2013-12-26,-1.6451250000006
2014-01-05,0.29608333333330006
2014-01-15,-12.107166666656699
2014-01-25,-21.12400000002
2014-02-04,-3.655666666668
2014-02-14,0.8641666666664299
2014-02-24,-3.0607083333334
2014-03-06,2.0632916666663297
2014-03-16,4.0831666666683395
2014-03-26,2.3592916666663
2014-04-05,4.680999999999701
2014-04-15,13.262125000007
2014-04-25,11.399666666663
2014-05-05,13.360999999987001
2014-05-15,22.07079166666
2014-05-25,21.76945833332
2014-06-04,19.85020833333
2014-06-14,15.183000000000002
2014-06-24,16.512000000009998
2014-07-04,20.67245833334
2014-07-14,22.243041666659998
2014-07-24,22.992250000000002
2014-08-03,23.51204166667
2014-08-13,21.91041666666
2014-08-23,16.298208333319998
2014-09-02,16.28583333333
2014-09-12,12.204000000007
2014-09-22,11.251791666667
2014-10-02,6.150666666667
2014-10-12,9.39229166667333
2014-10-22,-0.45541666666600006
2014-11-01,3.421374999999
2014-11-11,-0.1842916666673001
2014-11-21,-6.740958333333
2014-12-01,-5.5060833333303005
2014-12-11,0.6209166666650299
2014-12-21,-4.80016666666664
2014-12-31,-8.683791666672601
