date,globrad
2011-01-01,1.95152071094
2011-01-02,2.05198575
2011-01-03,2.4188891875
2011-01-04,1.08976567578
2011-01-05,2.8130041875
2011-01-06,3.5368115625
2011-01-07,3.8941935625
2011-01-08,1.74435758984
2011-01-09,3.359607
2011-01-10,3.330844625
2011-01-11,0.567230863281
2011-01-12,2.67810125
2011-01-13,0.482219621094
2011-01-14,1.6422051875
2011-01-15,3.777833
2011-01-16,3.5217870625
2011-01-17,3.3900200625
2011-01-18,3.3967680625
2011-01-19,3.7414648125
2011-01-20,1.55399725
2011-01-21,1.7482511875
2011-01-22,1.3844135
2011-01-23,2.8458355625
2011-01-24,2.1109264375
2011-01-25,4.12012775
2011-01-26,2.2148153125
2011-01-27,3.268566875
2011-01-28,2.8859243125
2011-01-29,3.227968625
2011-01-30,3.9858956875
2011-01-31,4.0885055625
2011-02-01,4.091949625
2011-02-02,2.822709
2011-02-03,2.308359
2011-02-04,1.5695763125
2011-02-05,1.10942675
2011-02-06,3.531563125
2011-02-07,5.0093135
2011-02-08,4.4324936875
2011-02-09,2.2783694375
2011-02-10,3.382876
2011-02-11,5.9881105625
2011-02-12,1.4439499375
2011-02-13,2.2351558125
2011-02-14,2.9076883125
2011-02-15,7.32474375
2011-02-16,8.357117
2011-02-17,8.03895925
2011-02-18,9.258021
2011-02-19,9.059848
2011-02-20,9.563635
2011-02-21,8.7933423125
2011-02-22,7.05753125
2011-02-23,8.6143899375
2011-02-24,7.0037518125
2011-02-25,10.726978
2011-02-26,10.88797
2011-02-27,11.223421
2011-02-28,11.855605
2011-03-01,11.88883
2011-03-02,12.090381
2011-03-03,7.019327
2011-03-04,8.569323
2011-03-05,4.036794875
2011-03-06,11.281668
2011-03-07,11.043913
2011-03-08,12.564839
2011-03-09,13.720691
2011-03-10,14.039225
2011-03-11,12.332693
2011-03-12,8.355844
2011-03-13,13.126298
2011-03-14,10.970052
2011-03-15,9.8532285
2011-03-16,14.090588
2011-03-17,11.435999
2011-03-18,12.88253
2011-03-19,12.699277
2011-03-20,12.531381
2011-03-21,9.242286
2011-03-22,14.339131
2011-03-23,5.299289
2011-03-24,10.972065
2011-03-25,16.376085
2011-03-26,7.455851
2011-03-27,17.565783
2011-03-28,18.279446
2011-03-29,9.431141
2011-03-30,14.195255
2011-03-31,19.058999
2011-04-01,18.783198
2011-04-02,17.36713
2011-04-03,19.157143
2011-04-04,19.240433
2011-04-05,18.662556
2011-04-06,6.367918
2011-04-07,12.593945
2011-04-08,1.5283418125
2011-04-09,10.5620940625
2011-04-10,13.637961
2011-04-11,12.710101
2011-04-12,14.919037
2011-04-13,15.635329
2011-04-14,5.127881625
2011-04-15,19.765592
2011-04-16,10.355608
2011-04-17,13.627189
2011-04-18,19.348826
2011-04-19,21.398768
2011-04-20,19.470015
2011-04-21,16.886298
2011-04-22,21.388716
2011-04-23,19.795643
2011-04-24,19.300189
2011-04-25,22.919404
2011-04-26,19.086775
2011-04-27,18.668355
2011-04-28,19.256834
2011-04-29,19.539184
2011-04-30,15.487597
2011-05-01,18.182539
2011-05-02,18.208761
2011-05-03,20.88532
2011-05-04,19.912225
2011-05-05,18.594026
2011-05-06,14.151287
2011-05-07,3.212767375
2011-05-08,24.261112
2011-05-09,20.505921
2011-05-10,5.527318
2011-05-11,20.177027
2011-05-12,24.726557
2011-05-13,21.113892
2011-05-14,18.837572
2011-05-15,18.08781
2011-05-16,17.714177
2011-05-17,21.633113
2011-05-18,24.625491
2011-05-19,20.181864
2011-05-20,16.889441
2011-05-21,21.510379
2011-05-22,20.696842
2011-05-23,23.217623
2011-05-24,22.450381
2011-05-25,26.755653
2011-05-26,24.368919
2011-05-27,26.088109
2011-05-28,27.396572
2011-05-29,27.381817
2011-05-30,27.422819
2011-05-31,26.570232
2011-06-01,26.272669
2011-06-02,27.82061
2011-06-03,23.648485
2011-06-04,27.182284
2011-06-05,28.002412
2011-06-06,27.061099
2011-06-07,28.538693
2011-06-08,27.966974
2011-06-09,19.621556
2011-06-10,20.071652
2011-06-11,21.67793
2011-06-12,20.526488
2011-06-13,24.719655
2011-06-14,19.420982
2011-06-15,24.392793
2011-06-16,21.220571
2011-06-17,23.674062
2011-06-18,24.527622
2011-06-19,24.291416
2011-06-20,21.875577
2011-06-21,20.403661
2011-06-22,21.655448
2011-06-23,25.027784
2011-06-24,18.440132
2011-06-25,16.755127
2011-06-26,18.603091
2011-06-27,16.519323
2011-06-28,9.218932
2011-06-29,9.58112
2011-06-30,17.064894
2011-07-01,15.615033
2011-07-02,22.336234
2011-07-03,20.182267
2011-07-04,19.920192
2011-07-05,21.305871
2011-07-06,22.162619
2011-07-07,18.226608
2011-07-08,20.125195
2011-07-09,18.97662
2011-07-10,17.202227
2011-07-11,22.363838
2011-07-12,21.910208
2011-07-13,23.125779
2011-07-14,25.898649
2011-07-15,25.92989
2011-07-16,25.966514
2011-07-17,22.700124
2011-07-18,22.310982
2011-07-19,20.023158
2011-07-20,21.623695
2011-07-21,19.722119
2011-07-22,16.642922
2011-07-23,19.916922
2011-07-24,14.072183
2011-07-25,16.722452
2011-07-26,21.108259
2011-07-27,25.254304
2011-07-28,21.298003
2011-07-29,24.295574
2011-07-30,20.238045
2011-07-31,13.928171
2011-08-01,11.890962
2011-08-02,12.910664
2011-08-03,8.8038388125
2011-08-04,12.147559875
2011-08-05,12.605571
2011-08-06,22.196736
2011-08-07,20.556893
2011-08-08,22.837722
2011-08-09,23.71788
2011-08-10,22.220166
2011-08-11,19.851944
2011-08-12,18.900155
2011-08-13,19.844813
2011-08-14,19.460148
2011-08-15,15.256494
2011-08-16,16.998873
2011-08-17,17.361921
2011-08-18,12.862619
2011-08-19,6.956071
2011-08-20,14.307202
2011-08-21,15.434685
2011-08-22,14.216133
2011-08-23,10.325438
2011-08-24,12.675969
2011-08-25,20.971608
2011-08-26,19.175728
2011-08-27,18.938246
2011-08-28,20.111576
