date,tmin
2011-01-31,-12.491612903225807
2011-02-28,-15.998214285714285
2011-03-31,-8.87741935483871
2011-04-30,1.4513333333333334
2011-05-31,9.449677419354838
2011-06-30,13.301666666666668
2011-07-31,17.307741935483868
2011-08-31,13.862580645161291
2011-09-30,8.678666666666667
2011-10-31,3.356129032258065
2011-11-30,-3.979
2011-12-31,-2.3583870967741936
2012-01-31,-8.272903225806452
2012-02-29,-14.883793103448276
2012-03-31,-6.267741935483872
2012-04-30,5.8196666666666665
2012-05-31,10.742258064516129
2012-06-30,13.287
2012-07-31,15.249032258064515
2012-08-31,14.49
2012-09-30,7.700333333333333
2012-10-31,5.379032258064516
2012-11-30,0.024666666666666674
2012-12-31,-9.119677419354838
2013-01-31,-8.881935483870967
2013-02-28,-6.705
2013-03-31,-8.32774193548387
2013-04-30,2.565
2013-05-31,11.562903225806451
2013-06-30,14.392666666666665
2013-07-31,13.845161290322581
2013-08-31,14.376774193548387
2013-09-30,8.124
2013-10-31,3.42
2013-11-30,1.7743333333333335
2013-12-31,-5.04
2014-01-31,-11.964516129032257
2014-02-28,-6.936785714285714
2014-03-31,-2.1812903225806455
2014-04-30,2.6656666666666666
2014-05-31,10.731612903225807
2014-06-30,11.447
2014-07-31,13.886129032258065
2014-08-31,14.134516129032258
2014-09-30,7.183000000000001
2014-10-31,-0.18225806451612903
2014-11-30,-4.098666666666667
2014-12-31,-5.762903225806451
