date,tmin
2013-12-16,-5.018
2013-12-21,-2.332
2013-12-26,-2.046
2013-12-31,-3.242
2014-01-05,-0.54
2014-01-10,-1.8699999999999999
2014-01-15,-13.134
2014-01-20,-18.984
2014-01-25,-24.854000000000003
2014-01-30,-27.556
2014-02-04,-10.111999999999998
2014-02-09,-2.212
2014-02-14,0.10800000000000001
2014-02-19,-1.408
2014-02-24,-9.666
2014-03-01,-2.9240000000000004
2014-03-06,-4.666
2014-03-11,-0.9400000000000001
2014-03-16,-3.474
2014-03-21,1.182
2014-03-26,-2.258
2014-03-31,-2.778
2014-04-05,-0.5700000000000001
2014-04-10,0.632
2014-04-15,5.008
2014-04-20,8.704
2014-04-25,2.9979999999999998
2014-04-30,5.556
2014-05-05,3.8920000000000003
2014-05-10,10.284
2014-05-15,15.77
2014-05-20,11.0
2014-05-25,15.222
2014-05-30,15.424000000000001
2014-06-04,15.484
2014-06-09,11.222
2014-06-14,10.594
2014-06-19,9.797999999999998
2014-06-24,9.972
2014-06-29,10.186
2014-07-04,13.786000000000001
2014-07-09,15.585999999999999
2014-07-14,14.376
2014-07-19,14.047999999999998
2014-07-24,11.89
2014-07-29,15.0
2014-08-03,17.098
2014-08-08,15.443999999999999
2014-08-13,16.978
2014-08-18,12.768
2014-08-23,10.989999999999998
2014-08-28,10.356
2014-09-02,9.222
2014-09-07,11.424
2014-09-12,8.594
2014-09-17,0.95
2014-09-22,6.9079999999999995
2014-09-27,4.544
2014-10-02,0.02599999999999989
2014-10-07,0.041999999999999815
2014-10-12,6.231999999999999
2014-10-17,2.7020000000000004
2014-10-22,-8.76
2014-10-27,-2.1380000000000003
2014-11-01,-2.68
2014-11-06,3.84
2014-11-11,1.8880000000000003
2014-11-16,-7.209999999999999
2014-11-21,-9.132
2014-11-26,-11.298
2014-12-01,-10.352
2014-12-06,-4.84
2014-12-11,-1.442
2014-12-16,-0.534
2014-12-21,-1.7
2014-12-26,-13.11
2014-12-31,-6.7780000000000005
